Tema;Candidato;Declaración más reciente;Fecha;Fuente (link);Declaración anterior contradictoria;Fecha;Fuente (link);Plan de gobierno
Control fronterizo / inmigración extranjera;Roberto Sánchez;"""Si bien es cierto el Perú siempre es solidario con cualquier nacionalidad de nuestros hermanos latinoamericanos. Pero también hay que ser bien responsables cuando se permite una inmigración desordenada, una inmigración que más bien ni le da seguridad al compatriota internacional y más bien incrementa la inseguridad en el otro país. Antes de luchar por un empleo, yo prefiero que ese empleo lo tenga un peruano. Es una mirada de responsabilidad sobre el tema de la migración"".";16/03/2026;https://www.youtube.com/watch?v=Ve1OvCiuTZk;;;;No hay mención
Rol del BCR/Velarde;Keiko Fujimori;"""El Perú, por ejemplo, cuando tuvo la hiperinflación, aprendió que lo que necesitábamos tener era un Banco Central de Reserva autónomo e independiente""";9/04/2026;https://www.facebook.com/reel/777234608600382;"""Vamos a defender la autonomía del Banco Central de Reserva para garantizar que la inflación en nuestro país sea una de las más bajas en Latinoamérica.""";5/04/2026;https://www.youtube.com/watch?v=LdyUswgwnYk;Estabilidad económica: Aseguramiento de la independencia del BCRP y el respeto a los contratos.
Rol del BCR/Velarde;Roberto Sánchez;"""Estamos en la capacidad de visitarlo, conversar con él [Velarde], tomar un buen café de Quillabamba o de Jaén, dialogar nuestros puntos en desencuentro en el marco de lo que ha dicho JPP. Reafirmamos y hemos dicho que la autonomía del BCR la defendemos""";18/04/2026;https://web.facebook.com/reel/3003210329875901;"""Senor Julio Velarde, usted ya fue desfazado. Muestro gorbierno no lo sostendrá ni un día en el gobierno del pueblo (…)No nos representa, en nuestro primer día de gobierno lo vamos a echar porque es usted una vergüenza. Solamente ha gobiernado para mantener contentos y felcices a las empresas trasnacionales, a sus amos""";29/03/2026;https://www.youtube.com/watch?v=sAe0CDro8bs;No se detalla
Reforma tributaria / Más impuestos a los ricos;Keiko Fujimori;;;;;;;Impulsaremos una reforma de la administración tributaria orientada a ampliar la base contributiva y a fortalecer la recaudación -sin aumentar la presión sobre los sectores formales ya contribuyentes y cumplidores-.
Reforma tributaria / Más impuestos a los ricos;Roberto Sánchez;"""El régimen económico instalado en el 93, bajo una dictadura, solo ha enriquecido a los ricos abandonando a la mayoría de los peruanos";24/03/2026;https://www.youtube.com/watch?v=-ycJcQgSmoo;"""El año pasado [2024], estas empresas [agroexportadoras] aumentaron sus ganancias en 70% y ahora quieren pagar menos impuestos, quitándole S/ 2,000 millones anuales a la recaudación tributaria necesaria para inversión social. No es justo, no es sensato y solo beneficia a los que más tienen. Desde Juntos por el Perú votamos en contra de leyes que no permitan una tributación justa""";14/08/2025;https://www.tiktok.com/@roberto.snchez.pa/video/7538589361009446162?q=roberto%20sanchez%20impuestos%20ricos&t=1776796365805;Crear un sistema tributario progresivo: impuesto a grandes fortunas en situación de crisis, eliminación de exoneraciones y cierre de brechas de evasión.
Revisión de contratos ley;Keiko Fujimori;"""Estoy a favor de las inversiones. Tenemos que mostrar predictibilidad a los inversiones, que el Estado cumple con su palabra, que las reglas tanto de ellos como del Estado se tiene que cumplir"".";10/04/2026;https://www.youtube.com/watch?v=nDRkBYCnXPw;"""También tenemos que generar predictibilidad y confianza. Si de algo se caracteriza nuestro grupo político a lo largo de todos estos años es que hemos defendido la constitución, defendemos el estado de derecho, defendemos las normas claras""";17/03/2026;https://www.google.com/search?q=keiko+fujimori+constitucion&num=12&sca_esv=8b90a2d696e076c2&hl=es-419&udm=39&biw=1536&bih=826&sxsrf=ANbL-n4H2_eAWhy1n7Pi_r1CspHx4pvb2w%3A1776865710225&ei=rtHoaaW6Dd7X1sQPpvOU6Q4&ved=0ahUKEwilyeLLzIGUAxXeq5UCHaY5Je0Q4dUDCBQ&uact=5&oq=keiko+fujimori+constitucion&gs_lp=Eh1nd3Mtd2l6LW1vZGVsZXNzLXNob3J0LXZpZGVvcyIba2Vpa28gZnVqaW1vcmkgY29uc3RpdHVjaW9uSP9YULgoWM9WcAF4AJABAJgBkQGgAYEOqgEENS4xMrgBA8gBAPgBAZgCB6AC0AXCAgUQIRigAcICBBAjGCfCAhAQABiABBixAxiDARgUGIcCwgIKEAAYgAQYFBiHAsICBRAAGIAEwgIGEAAYFhgemAMAiAYBkgcDNC4zoAf6KrIHAzQuM7gH0AXCBwUyLjMuMsgHEIAIAA&sclient=gws-wiz-modeless-short-videos#fpstate=ive&ip=1&vld=cid:10df8c51,vid:kKFJiSsUzJY,st:0;Establecimiento de plazos máximos y vinculantes para autorizaciones sectoriales, evitando que inversiones estratégicas queden paralizadas indefinidamente.
Revisión de contratos ley;Roberto Sánchez;"""¿Dónde está la raíz de todos los problemas?. En el tejido institucional, un sistema de justicia que no persigue el delito, un régimen económico con contratos ley irrevisables. Un Estado arrodillado frente al imperio económico"".";24/03/2026;https://www.facebook.com/reel/1284430713546342;"""Necesitamos que se acaben los contratos ley que han sido nefastos"".";16/03/2026;https://www.youtube.com/watch?v=Ve1OvCiuTZk;Asimismo, se eliminará en la Nueva Constitución el aval a los contratos Ley y los regímenes tributarios y laborales, que sólo favorecen a las grandes empresas en detrimento de los trabajadores y el interés público en general,
Aborto;Keiko Fujimori;"“En Fuerza Popular y quien habla está a favor del aborto terapéutico en caso de que la madre corra riesgo, más no en caso de violación"".";12/02/2026;https://www.youtube.com/watch?v=AFyXyRG1xmg;"""Yo estoy a favor del aborto terapéutico, pero en contra de los otros casos [como violación]""";2/10/2015;https://elcomercio.pe/politica/gobierno/keiko-fujimori-cinco-respuestas-discurso-harvard-223527-noticia/?ref=ecr;Sin mención
Aborto;Rafael López Aliaga;“La política de Renovación es respetar lo que es la creencia de la familia. El Estado no se mete en decisiones tan delicadas donde están en juego vidas humanas”, “cada familia será responsable de lo que hace o no hace”.;11/02/2026;https://www.youtube.com/watch?v=r97NPTZyV4o;"""El aborto no puede ser legalizado en el Perú en ninguna circunstancia""";9/03/2021;https://canaln.pe/actualidad/rafael-lopez-aliaga-aborto-no-pude-legalizado-peru-ninguna-circunstancia-n432281;Sin mención
Aborto;Roberto Sánchez;"""No es una decisión feliz pero ha de primar el derecho a integridad de la víctima que es una niña. Condenable negarle ese imperativo ético. El Aborto terapéutico""";9/08/2023;https://x.com/RobertoSanchP/status/1689344169200787456;;;;
Matrimonio gay - unión civil;Keiko Fujimori;“yo estoy a favor de la unión civil cuando se trata de defender el patrimonio.”;20/01/2026;https://www.youtube.com/watch?v=WYvudph7DAs;"""Estoy a favor de la unión civil en cuanto se refiere a respetar los derechos patrimoniales de las parejas, pero no en la adopción de niños """;2/10/2015;https://elcomercio.pe/politica/gobierno/keiko-fujimori-cinco-respuestas-discurso-harvard-223527-noticia/?ref=ecr;Sin mención
Matrimonio gay - unión civil;Roberto Sánchez;"""Este 28 de junio, reconocemos la lucha histórica del pueblo LGBTIQ+. El orgullo como resistencia frente a un sistema que discrimina y excluye. Reafirmamos nuestro compromiso con un país donde la diversidad sea ley, vida y dignidad.""";28/06/2025;https://x.com/RobertoSanchP/status/1939102122428989467;"""La tolerancia, el respeto a las minorías, debe ser condición de una democracia""";18/07/2023;https://andina.pe/agencia/noticia-congresista-sanchez-respalda-proyecto-union-civil-entre-parejas-del-mismo-sexo-947949.aspx;Sin mención
